Account,Flag,Cleared,Check Number,Date,Payee,Category,Master Category,Sub Category,Memo,Outflow,Inflow,Running Balance
"Avidia Checking",,U,,12/09/2013,"softright","Personal : Health Insurance","Personal","Health Insurance","4115",$954.00,$0.00,$3193.26
"Avidia Checking",,U,,12/10/2013,"Transfer : Target",,,,"",$10.96,$0.00,$3182.30
"Avidia Checking",,U,,12/10/2013,"Marlboro","Housing : Water","Hidden Categories","Housing ` Water","",$341.66,$0.00,$2840.64
"Avidia Checking",,U,,12/10/2013,"Transfer : Target Lisa",,,,"",$500.00,$0.00,$2340.64
"Avidia Checking",,U,,12/11/2013,"daltons","Housing : Dog","Hidden Categories","Housing ` Dog","",$80.00,$0.00,$2260.64
"Avidia Checking",,U,,12/16/2013,"Transfer : avidia - Lisa Business",,,,"",$0.00,$1700.00,$3960.64
"Avidia Checking",,U,,12/16/2013,"Transfer : Target Lisa",,,,"",$170.84,$0.00,$3789.80
"Avidia Checking",,U,,12/17/2013,"nstar","Housing : Gas","Hidden Categories","Housing ` Gas","",$169.28,$0.00,$3620.52
"Avidia Checking",,U,,12/18/2013,"Misc Income?","Income : Available this month","Income","Available this month","",$0.00,$30.00,$3650.52
"Avidia Checking",,U,,12/19/2013,"Pumpkin Brook","Income : Available this month","Income","Available this month","",$0.00,$420.00,$4070.52
"Avidia Checking",,U,,12/19/2013,"Pumpkin Brook","Income : Available this month","Income","Available this month","",$0.00,$250.00,$4320.52
"Avidia Checking",,U,,12/19/2013,"Pumpkin Brook","Income : Available this month","Income","Available this month","",$0.00,$21.32,$4341.84
"Avidia Checking",,U,,12/19/2013,"Providence Airport","Transportation : Parking","Transportation","Parking","",$6.00,$0.00,$4335.84
"Avidia Checking",,U,,12/23/2013,"Credit Ma DUA tax","Income : Available this month","Income","Available this month","",$0.00,$105.00,$4440.84
"Avidia Checking",,U,,12/23/2013,"AJ Tomaiolo","Food : Restaurants","Food","Restaurants","",$42.79,$0.00,$4398.05
"Avidia Checking",,U,,12/24/2013,"Fastlane","Transportation : tolls","Transportation","tolls","",$12.50,$0.00,$4385.55
"Avidia Checking",,U,,12/24/2013,"Jolicoeur","Housing : Maintenance & Repairs","Hidden Categories","Housing ` Maintenance & Repairs","4118",$75.00,$0.00,$4310.55
"Avidia Checking",,U,,12/26/2013,"Chinese Kitchen","Food : Restaurants","Food","Restaurants","",$37.02,$0.00,$4273.53
"Avidia Checking",,U,,12/27/2013,"Misc Income?","Income : Available this month","Income","Available this month","",$0.00,$350.00,$4623.53
"Avidia Checking",,U,,12/30/2013,"Mom gift","Income : Available this month","Income","Available this month","",$0.00,$2000.00,$6623.53
"Avidia Checking",,U,,12/30/2013,"Laura  Mattei (FOR ANNA GIFT)","Personal : Gifts","Personal","Gifts","",$50.00,$0.00,$6573.53
"Avidia Checking",,U,,01/02/2014,"McDonalds","Food : Restaurants","Food","Restaurants","",$11.02,$0.00,$6562.51
"Avidia Checking",,U,,01/02/2014,"Save the children","Charity : Other","Charity","Other","",$28.00,$0.00,$6534.51
"Avidia Checking",,U,,01/02/2014,"verizon wireless","Housing : Cell Phones","Hidden Categories","Housing ` Cell Phones","",$94.67,$0.00,$6439.84
"Avidia Checking",,U,,01/03/2014,"SMG","Personal : Doctor, Dentist","Personal","Doctor, Dentist","",$25.00,$0.00,$6414.84
"Avidia Checking",,U,,01/03/2014,"Transfer : Discover",,,,"",$2225.12,$0.00,$4189.72
"Avidia Checking",,U,,01/06/2014,"Ketztx","Recreation : Entertainment","Recreation","Entertainment","",$7.00,$0.00,$4182.72
